ID,Nome,Idade,Sexo,Departamento,Cargo,Salario,Data Admissao,Tempo Empresa (anos),Estado Civil,Cidade,Nível Escolaridade
1,Funcionário 1,56,Masculino,RH,Diretor,7574,2011-12-19,11,Viúvo,Curitiba,Pós-Graduação
2,Funcionário 2,46,Feminino,RH,Assistente,6072,2019-07-17,3,Divorciado,Belo Horizonte,Superior Completo
3,Funcionário 3,32,Feminino,RH,Assistente,4257,2022-02-21,1,Casado,Rio de Janeiro,Mestrado
4,Funcionário 4,60,Feminino,Logística,Gerente,12980,2011-10-21,11,Divorciado,Curitiba,Superior Completo
5,Funcionário 5,25,Masculino,RH,Gerente,10588,2020-12-22,2,Divorciado,Belo Horizonte,Doutorado
6,Funcionário 6,38,Masculino,Marketing,Assistente,12270,2022-05-22,0,Casado,Belo Horizonte,Superior Completo
7,Funcionário 7,56,Masculino,Financeiro,Assistente,14936,2021-08-05,1,Casado,Porto Alegre,Pós-Graduação
8,Funcionário 8,36,Masculino,TI,Diretor,6424,2020-04-22,3,Viúvo,Belo Horizonte,Pós-Graduação
9,Funcionário 9,40,Masculino,Vendas,Coordenador,5237,2018-03-09,5,Viúvo,São Paulo,Superior Completo
10,Funcionário 10,28,Masculino,Marketing,Gerente,5893,2022-09-12,0,Solteiro,Curitiba,Pós-Graduação
11,Funcionário 11,28,Masculino,TI,Coordenador,4005,2015-10-06,7,Solteiro,São Paulo,Pós-Graduação
12,Funcionário 12,41,Masculino,Marketing,Diretor,4016,2013-06-09,9,Divorciado,Curitiba,Doutorado
13,Funcionário 13,53,Feminino,Marketing,Assistente,13363,2016-10-18,6,Casado,Porto Alegre,Mestrado
14,Funcionário 14,57,Feminino,Vendas,Coordenador,12860,2011-01-19,12,Solteiro,Belo Horizonte,Doutorado
15,Funcionário 15,41,Masculino,Financeiro,Assistente,12070,2017-02-20,6,Divorciado,Belo Horizonte,Ensino Médio
16,Funcionário 16,20,Masculino,RH,Assistente,11388,2010-07-13,12,Casado,Belo Horizonte,Doutorado
17,Funcionário 17,39,Feminino,Logística,Analista,3772,2020-06-04,2,Viúvo,Curitiba,Superior Completo
18,Funcionário 18,19,Masculino,Financeiro,Coordenador,10353,2020-03-08,3,Divorciado,Belo Horizonte,Mestrado
19,Funcionário 19,41,Masculino,Logística,Coordenador,5976,2017-01-25,6,Viúvo,São Paulo,Superior Completo
20,Funcionário 20,61,Masculino,Vendas,Assistente,3751,2017-01-09,6,Solteiro,Belo Horizonte,Ensino Médio
21,Funcionário 21,47,Feminino,Vendas,Diretor,10967,2017-07-26,5,Solteiro,Porto Alegre,Mestrado
22,Funcionário 22,55,Feminino,Vendas,Analista,9430,2017-08-30,5,Casado,São Paulo,Pós-Graduação
23,Funcionário 23,19,Feminino,TI,Assistente,9170,2016-05-28,6,Divorciado,Belo Horizonte,Doutorado
24,Funcionário 24,38,Feminino,Logística,Gerente,8469,2019-04-30,4,Viúvo,Belo Horizonte,Superior Completo
25,Funcionário 25,50,Feminino,Financeiro,Gerente,11131,2012-01-02,11,Casado,Rio de Janeiro,Ensino Médio
26,Funcionário 26,29,Masculino,Financeiro,Analista,5220,2017-11-12,5,Solteiro,Curitiba,Pós-Graduação
27,Funcionário 27,39,Feminino,Marketing,Diretor,2539,2018-07-18,4,Solteiro,São Paulo,Doutorado
28,Funcionário 28,61,Masculino,Marketing,Assistente,3461,2021-06-09,1,Divorciado,Rio de Janeiro,Pós-Graduação
29,Funcionário 29,42,Masculino,Marketing,Coordenador,7184,2017-02-17,6,Viúvo,Porto Alegre,Doutorado
30,Funcionário 30,44,Feminino,Vendas,Analista,10547,2016-07-10,6,Divorciado,Curitiba,Mestrado
31,Funcionário 31,59,Feminino,Financeiro,Diretor,13796,2011-06-16,11,Viúvo,São Paulo,Pós-Graduação
32,Funcionário 32,45,Masculino,Logística,Coordenador,13515,2021-10-26,1,Viúvo,Belo Horizonte,Pós-Graduação
